Security Name,Quantity,Closing Market Price,Cost of Shares,ETF_Name
Tech Mahindra Ltd.,74,1452.2,107462.8,SBI Nifty 50 ETF
Dr. Reddy'S Laboratories Ltd.,71,1250.9,88813.9,SBI Nifty 50 ETF
Hindalco Industries Ltd.,169,856.25,144706.25,SBI Nifty 50 ETF
Bharat Electronics Ltd.,417,407.2,169802.4,SBI Nifty 50 ETF
Nestle India Ltd.,83,1273,105659,SBI Nifty 50 ETF
Jsw Steel Ltd.,109,1207.9,131661.1,SBI Nifty 50 ETF
State Bank Of India,483,939.75,453899.25,SBI Nifty 50 ETF
Kotak Mahindra Bank Ltd.,171,2150.5,367735.5,SBI Nifty 50 ETF
Power Grid Corporation Of India Ltd.,527,295.35,155649.45,SBI Nifty 50 ETF
Icici Bank Ltd.,830,1370.4,1137432,SBI Nifty 50 ETF
Hindustan Unilever Ltd.,103,2488.1,256274.3,SBI Nifty 50 ETF
Bajaj Auto Ltd.,13,9034,117442,SBI Nifty 50 ETF
Jio Financial Services Ltd.,381,309.75,118014.75,SBI Nifty 50 ETF
Adani Enterprises Ltd.,30,2537.4,76122,SBI Nifty 50 ETF
Tata Motors Passenger Vehicles Ltd.,243,411.35,99958.05,SBI Nifty 50 ETF
Max Healthcare Institute Ltd.,87,1189.5,103486.5,SBI Nifty 50 ETF
Cipla Ltd.,65,1581.1,102771.5,SBI Nifty 50 ETF
Shriram Finance Ltd.,163,738.45,120367.35,SBI Nifty 50 ETF
Titan Company Ltd.,48,3748.3,179918.4,SBI Nifty 50 ETF
Bajaj Finance Ltd.,310,1062.95,329514.5,SBI Nifty 50 ETF
Interglobe Aviation Ltd.,25,5813,145325,SBI Nifty 50 ETF
Eternal Ltd.,810,330.45,267664.5,SBI Nifty 50 ETF
Maruti Suzuki India Ltd.,15,16138,242070,SBI Nifty 50 ETF
Hdfc Bank Ltd.,1777,1007.85,1790949.45,SBI Nifty 50 ETF
Coal India Ltd.,264,382,100848,SBI Nifty 50 ETF
Hdfc Life Insurance Company Ltd.,125,761.3,95162.5,SBI Nifty 50 ETF
Trent Ltd.,26,4780.6,124295.6,SBI Nifty 50 ETF
Mahindra & Mahindra Ltd.,103,3534.7,364074.1,SBI Nifty 50 ETF
Grasim Industries Ltd.,44,2958.7,130182.8,SBI Nifty 50 ETF
Tata Steel Ltd.,962,185.19,178152.78,SBI Nifty 50 ETF
Bajaj Finserv Ltd.,66,2137,141042,SBI Nifty 50 ETF
Asian Paints Ltd.,53,2538.7,134551.1,SBI Nifty 50 ETF
Apollo Hospitals Enterprise Ltd.,12,7858.5,94302,SBI Nifty 50 ETF
Itc Ltd.,1121,421.6,472613.6,SBI Nifty 50 ETF
Sun Pharmaceutical Industries Ltd.,123,1715.9,211055.7,SBI Nifty 50 ETF
Wipro Ltd.,332,242.28,80436.96,SBI Nifty 50 ETF
Infosys Ltd.,419,1510.4,632857.6,SBI Nifty 50 ETF
Larsen & Toubro Ltd.,137,3958.1,542259.7,SBI Nifty 50 ETF
Reliance Industries Ltd.,788,1504.2,1185309.6,SBI Nifty 50 ETF
Ultratech Cement Ltd.,14,11999,167986,SBI Nifty 50 ETF
Tata Consumer Products Ltd.,76,1177.1,89459.6,SBI Nifty 50 ETF
Eicher Motors Ltd.,16,6952,111232,SBI Nifty 50 ETF
Bharti Airtel Ltd.,317,2100.6,665890.2,SBI Nifty 50 ETF
